                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65133,                0.77547,                0.92408,                 1.0489,                 0.9902,                0.92661,                0.98919,                0.86778,                 0.9902,                0.92661,                0.98823,                 0.9376,                0.53477,                0.45804,                  4.785,                0.91915,             0.00065728,             0.00065728,             0.00065728
                      2,                0.66631,                0.51709,                0.55912,                 1.0273,                0.95699,                0.81651,                0.93516,                 0.7076,                0.94624,                0.80734,                0.92591,                0.72753,                0.74084,                 0.8723,                 2.7833,                 1.1486,              0.0013152,              0.0013152,              0.0013152
                      3,                0.63529,                0.50649,                0.53292,                 1.0058,                0.02134,                0.09174,                0.00335,                 0.0006,                0.00925,                 0.0367,                0.00172,                0.00068,                 3.8007,                 0.9791,                 7.6327,                 4.0325,              0.0019643,              0.0019643,              0.0019643
                      4,                0.64466,                0.52271,                0.51751,                 1.0261,                0.39579,                0.50459,                0.31372,                0.09118,                0.34806,                0.31193,                0.23521,                0.05339,                 2.5585,                 5.5468,                 3.3281,                 2.2717,              0.0019604,              0.0019604,              0.0019604
                      5,                0.58845,                 0.4604,                0.46213,                0.99143,                0.95539,                      1,                  0.995,                0.92305,                0.95539,                      1,                  0.995,                 0.9154,                0.49635,                0.20199,                0.75015,                0.75728,              0.0019604,              0.0019604,              0.0019604
                      6,                0.57401,                0.47815,                0.43632,                0.98805,                0.92598,                      1,                0.99023,                0.86976,                0.92598,                      1,                0.99023,                0.93803,                0.43936,                 0.2099,                0.76438,                0.76988,              0.0019472,              0.0019472,              0.0019472
                      7,                0.51784,                0.44089,                0.40769,                 0.9519,                0.99696,                      1,                  0.995,                 0.9096,                0.99696,                      1,                  0.995,                0.97496,                0.44582,                 0.1954,                0.50478,                0.73868,               0.001934,               0.001934,               0.001934
                      8,                 0.5152,                 0.4136,                0.39899,                0.96125,                0.99926,                      1,                  0.995,                0.94128,                0.99926,                      1,                  0.995,                0.96063,                0.42574,                0.15126,                0.48512,                0.72768,              0.0019208,              0.0019208,              0.0019208
                      9,                0.48065,                0.43436,                0.37149,                0.94561,                0.99911,                      1,                  0.995,                0.93226,                0.99911,                      1,                  0.995,                0.94271,                0.38887,                0.17353,                0.34965,                0.73703,              0.0019076,              0.0019076,              0.0019076
                     10,                0.47746,                0.39269,                0.36898,                 0.9409,                0.99946,                      1,                  0.995,                0.93805,                0.99946,                      1,                  0.995,                 0.9949,                0.34131,                0.15945,                0.30057,                0.73009,              0.0018944,              0.0018944,              0.0018944
                     11,                0.46049,                0.39569,                0.35517,                0.92613,                0.99931,                      1,                  0.995,                0.96888,                0.99931,                      1,                  0.995,                0.99481,                0.25643,                0.17119,                0.48215,                0.66417,              0.0018812,              0.0018812,              0.0018812
                     12,                0.45114,                0.39933,                0.33932,                0.93965,                0.99929,                      1,                  0.995,                0.93749,                0.99929,                      1,                  0.995,                0.92983,                0.44658,                0.16867,                0.39247,                0.76324,               0.001868,               0.001868,               0.001868
                     13,                0.44246,                 0.3712,                0.32736,                0.92356,                0.99902,                      1,                  0.995,                0.92667,                0.99902,                      1,                  0.995,                0.86894,                0.59792,                0.15429,                  0.694,                0.81663,              0.0018548,              0.0018548,              0.0018548
                     14,                0.44418,                0.36935,                0.33536,                0.93106,                0.99714,                      1,                  0.995,                0.96071,                0.99714,                      1,                  0.995,                0.99081,                0.31712,                0.17067,                0.35749,                0.69878,              0.0018416,              0.0018416,              0.0018416
                     15,                 0.4388,                0.37484,                0.33377,                0.93572,                0.99929,                      1,                  0.995,                0.94414,                0.99929,                      1,                  0.995,                  0.995,                0.34242,                0.14882,                0.31847,                0.69533,              0.0018284,              0.0018284,              0.0018284
                     16,                0.43486,                0.36473,                0.32387,                0.93273,                0.99924,                      1,                  0.995,                0.93284,                0.99924,                      1,                  0.995,                0.93159,                0.41284,                0.16424,                0.47244,                0.72943,              0.0018152,              0.0018152,              0.0018152
                     17,                0.43262,                0.36865,                0.32562,                0.92558,                0.99939,                      1,                  0.995,                0.93187,                0.99939,                      1,                  0.995,                0.96327,                0.40943,                0.16434,                0.27261,                0.73885,               0.001802,               0.001802,               0.001802
                     18,                0.42643,                0.37038,                0.32031,                0.91694,                0.99918,                      1,                  0.995,                0.94848,                0.99918,                      1,                  0.995,                0.98498,                0.38106,                0.16335,                0.32415,                0.73947,              0.0017888,              0.0017888,              0.0017888
                     19,                0.39957,                0.34261,                0.29825,                0.91619,                0.99836,                      1,                  0.995,                0.98291,                0.99836,                      1,                  0.995,                0.99236,                0.24997,                0.15075,                0.26514,                0.67031,              0.0017756,              0.0017756,              0.0017756
                     20,                 0.4204,                0.35456,                0.31684,                0.92572,                0.99927,                      1,                  0.995,                0.93773,                0.99927,                      1,                  0.995,                0.98445,                0.34313,                0.14785,                0.50201,                0.70924,              0.0017624,              0.0017624,              0.0017624
                     21,                0.39608,                0.34262,                0.30108,                0.91095,                0.99946,                      1,                  0.995,                0.97387,                0.99946,                      1,                  0.995,                0.99373,                0.28684,                0.15023,                0.37756,                0.67607,              0.0017492,              0.0017492,              0.0017492
                     22,                0.39895,                0.35675,                0.29296,                0.91057,                0.99948,                      1,                  0.995,                 0.9787,                0.99948,                      1,                  0.995,                0.99465,                0.25083,                0.14193,                0.21755,                0.67378,               0.001736,               0.001736,               0.001736
                     23,                0.38414,                0.32737,                0.28364,                0.91137,                0.99941,                      1,                  0.995,                0.95698,                0.99941,                      1,                  0.995,                0.90395,                0.38224,                0.16305,                0.35555,                0.71095,              0.0017228,              0.0017228,              0.0017228
                     24,                0.37109,                0.33527,                0.28192,                0.89612,                0.99929,                      1,                  0.995,                0.98633,                0.99929,                      1,                  0.995,                0.99333,                0.24068,                 0.1677,                0.31576,                0.66179,              0.0017096,              0.0017096,              0.0017096
                     25,                0.37692,                0.33654,                 0.2842,                0.90776,                0.99924,                      1,                  0.995,                0.98598,                0.99924,                      1,                  0.995,                0.99494,                0.22718,                0.14203,                0.43739,                0.66366,              0.0016964,              0.0016964,              0.0016964
                     26,                0.37597,                0.32812,                0.27353,                0.90602,                0.99914,                      1,                  0.995,                0.97858,                0.99914,                      1,                  0.995,                  0.995,                0.25382,                0.17126,                0.22081,                0.66601,              0.0016832,              0.0016832,              0.0016832
                     27,                0.38017,                0.35551,                0.27381,                0.90212,                0.99943,                      1,                  0.995,                0.96015,                0.99943,                      1,                  0.995,                0.99054,                0.27909,                0.16943,                0.25642,                0.67607,                0.00167,                0.00167,                0.00167
                     28,                0.38199,                 0.3412,                0.27732,                0.90304,                0.99922,                      1,                  0.995,                0.98178,                0.99922,                      1,                  0.995,                  0.995,                0.22812,                0.17668,                0.37142,                0.67788,              0.0016568,              0.0016568,              0.0016568
                     29,                0.37414,                0.33384,                0.26955,                0.90001,                 0.9995,                      1,                  0.995,                0.98887,                 0.9995,                      1,                  0.995,                0.99264,                0.23373,                0.18036,                  0.178,                0.66486,              0.0016436,              0.0016436,              0.0016436
                     30,                0.36249,                0.31808,                0.26641,                0.89829,                0.99941,                      1,                  0.995,                0.97862,                0.99941,                      1,                  0.995,                0.99025,                0.26977,                0.15781,                0.27329,                0.66934,              0.0016304,              0.0016304,              0.0016304
                     31,                0.36934,                0.33078,                0.26987,                0.90441,                0.99828,                      1,                  0.995,                0.98422,                0.99828,                      1,                  0.995,                  0.995,                0.23845,                0.15698,                 0.2081,                0.65657,              0.0016172,              0.0016172,              0.0016172
                     32,                0.37312,                0.31821,                0.26741,                0.90591,                0.99926,                      1,                  0.995,                0.98273,                0.99926,                      1,                  0.995,                0.99499,                0.22575,                0.13741,                0.24416,                0.65521,               0.001604,               0.001604,               0.001604
                     33,                0.37802,                0.31595,                0.27536,                0.90413,                0.97988,                      1,                0.99491,                  0.981,                0.97988,                      1,                0.99491,                0.99281,                0.29155,                0.13318,                 0.2948,                0.69084,              0.0015908,              0.0015908,              0.0015908
                     34,                0.35135,                0.32442,                0.25422,                0.89229,                0.99927,                      1,                  0.995,                0.98405,                0.99927,                      1,                  0.995,                 0.9853,                0.24874,                0.14243,                0.29372,                0.66663,              0.0015776,              0.0015776,              0.0015776
                     35,                 0.3453,                0.31582,                0.24967,                0.89123,                0.99914,                      1,                  0.995,                0.93392,                0.99914,                      1,                  0.995,                0.94013,                0.46947,                0.17097,                0.82905,                0.73681,              0.0015644,              0.0015644,              0.0015644
                     36,                0.36051,                0.32086,                0.26545,                0.89812,                0.99941,                      1,                  0.995,                0.98725,                0.99941,                      1,                  0.995,                0.99472,                0.22879,                 0.1541,                0.25467,                0.65872,              0.0015512,              0.0015512,              0.0015512
                     37,                0.35278,                 0.3067,                0.25762,                0.89111,                0.99841,                      1,                  0.995,                0.97423,                0.99841,                      1,                  0.995,                0.99057,                0.26518,                0.15429,                0.29855,                0.65594,               0.001538,               0.001538,               0.001538
                     38,                0.34243,                0.30666,                0.24758,                0.89841,                0.99923,                      1,                  0.995,                0.97487,                0.99923,                      1,                  0.995,                0.99454,                0.28697,                0.15808,                0.38144,                0.67182,              0.0015248,              0.0015248,              0.0015248
                     39,                0.34879,                0.31231,                0.25772,                0.89394,                0.98994,                      1,                0.99482,                 0.9793,                0.98994,                      1,                0.99482,                0.99482,                0.28017,                0.18126,                0.23769,                0.67318,              0.0015116,              0.0015116,              0.0015116
                     40,                0.34764,                0.32143,                0.25129,                0.88864,                0.99939,                      1,                  0.995,                 0.9909,                0.99939,                      1,                  0.995,                  0.995,                0.22798,                0.13821,                 0.2189,                0.65772,              0.0014984,              0.0014984,              0.0014984
                     41,                0.33419,                0.29926,                0.24181,                0.89042,                0.99946,                      1,                  0.995,                  0.971,                0.99946,                      1,                  0.995,                0.94023,                0.36553,                0.15365,                 0.2584,                0.70669,              0.0014852,              0.0014852,              0.0014852
                     42,                0.32634,                0.29777,                0.24296,                0.87876,                0.99937,                      1,                  0.995,                0.98506,                0.99937,                      1,                  0.995,                  0.995,                0.24296,                0.14138,                0.25581,                0.66507,               0.001472,               0.001472,               0.001472
                     43,                0.33221,                0.30303,                0.24234,                0.89235,                 0.9995,                      1,                  0.995,                0.99001,                 0.9995,                      1,                  0.995,                0.98934,                0.21914,                0.13434,                0.16814,                0.65233,              0.0014588,              0.0014588,              0.0014588
                     44,                0.33576,                0.29001,                 0.2426,                0.88502,                0.99947,                      1,                  0.995,                  0.981,                0.99947,                      1,                  0.995,                0.99281,                0.25763,                0.13178,                0.20002,                0.65701,              0.0014456,              0.0014456,              0.0014456
                     45,                0.32867,                 0.3022,                0.23888,                0.89116,                0.99924,                      1,                  0.995,                0.98892,                0.99924,                      1,                  0.995,                 0.9924,                0.22893,                0.13755,                0.23916,                 0.6656,              0.0014324,              0.0014324,              0.0014324
                     46,                0.32406,                0.29464,                0.23535,                0.88558,                0.99935,                      1,                  0.995,                0.98244,                0.99935,                      1,                  0.995,                0.99278,                0.21192,                0.13675,                0.23373,                 0.6466,              0.0014192,              0.0014192,              0.0014192
                     47,                  0.331,                0.30047,                0.23313,                0.88193,                0.99951,                      1,                  0.995,                0.99095,                0.99951,                      1,                  0.995,                0.98982,                0.19413,                0.22805,                 0.1572,                0.64349,               0.001406,               0.001406,               0.001406
                     48,                0.32113,                0.29695,                0.23231,                0.88087,                0.99938,                      1,                  0.995,                0.99141,                0.99938,                      1,                  0.995,                  0.995,                 0.1951,                0.13976,                0.29656,                 0.6407,              0.0013928,              0.0013928,              0.0013928
                     49,                0.33705,                0.29966,                0.24173,                0.89159,                0.99941,                      1,                  0.995,                0.99245,                0.99941,                      1,                  0.995,                0.99419,                0.21121,                0.17639,                0.24648,                0.66021,              0.0013796,              0.0013796,              0.0013796
                     50,                0.32034,                 0.2879,                0.23412,                0.88479,                0.99946,                      1,                  0.995,                0.99199,                0.99946,                      1,                  0.995,                  0.995,                0.22273,                0.15494,                 0.2225,                0.65803,              0.0013664,              0.0013664,              0.0013664
                     51,                 0.3225,                0.28064,                0.22948,                0.88313,                0.99948,                      1,                  0.995,                0.98912,                0.99948,                      1,                  0.995,                 0.9949,                0.24587,                0.15695,                0.18972,                0.67167,              0.0013532,              0.0013532,              0.0013532
                     52,                0.32011,                0.28525,                0.23245,                0.88557,                0.99919,                      1,                  0.995,                0.97514,                0.99919,                      1,                  0.995,                0.99263,                0.29323,                 0.1248,                0.23636,                0.68436,                0.00134,                0.00134,                0.00134
                     53,                0.32127,                0.28938,                0.22852,                0.88403,                0.99901,                      1,                  0.995,                0.99092,                0.99901,                      1,                  0.995,                0.99278,                0.20369,                0.13287,                 0.3014,                0.66209,              0.0013268,              0.0013268,              0.0013268
                     54,                0.31688,                0.28336,                0.22835,                0.88023,                0.99915,                      1,                  0.995,                0.99169,                0.99915,                      1,                  0.995,                0.96976,                0.22651,                0.15986,                0.35203,                0.65316,              0.0013136,              0.0013136,              0.0013136
                     55,                0.31886,                0.30408,                0.22389,                0.89186,                0.99937,                      1,                  0.995,                0.98812,                0.99937,                      1,                  0.995,                0.99429,                0.18761,                0.14774,                0.14987,                0.65013,              0.0013004,              0.0013004,              0.0013004
                     56,                0.31737,                0.30848,                 0.2233,                0.87881,                0.99945,                      1,                  0.995,                0.99307,                0.99945,                      1,                  0.995,                0.99051,                0.19945,                0.19892,                0.16866,                0.64467,              0.0012872,              0.0012872,              0.0012872
                     57,                0.32617,                0.30285,                0.22562,                0.88438,                0.99945,                      1,                  0.995,                0.99035,                0.99945,                      1,                  0.995,                  0.995,                0.18903,                0.14138,                0.15447,                0.64595,               0.001274,               0.001274,               0.001274
                     58,                0.31861,                0.28863,                0.22721,                0.88329,                0.99888,                      1,                  0.995,                0.97948,                0.99888,                      1,                  0.995,                  0.995,                0.24378,                0.12542,                 0.4026,                0.65273,              0.0012608,              0.0012608,              0.0012608
                     59,                0.30894,                0.29111,                 0.2189,                0.88157,                0.99834,                      1,                  0.995,                 0.9869,                0.99834,                      1,                  0.995,                  0.995,                 0.1894,                   0.14,                0.21229,                0.65677,              0.0012476,              0.0012476,              0.0012476
                     60,                0.32162,                0.28912,                0.23518,                 0.8829,                0.99943,                      1,                  0.995,                0.99407,                0.99943,                      1,                  0.995,                  0.995,                0.18117,                0.15457,                0.17183,                0.64238,              0.0012344,              0.0012344,              0.0012344
                     61,                0.31813,                0.29184,                0.21704,                0.88117,                0.99944,                      1,                  0.995,                0.99115,                0.99944,                      1,                  0.995,                 0.9944,                0.20316,                0.13719,                0.17418,                0.65067,              0.0012212,              0.0012212,              0.0012212
                     62,                0.30735,                0.28664,                0.21568,                0.87902,                0.99949,                      1,                  0.995,                0.99065,                0.99949,                      1,                  0.995,                  0.995,                0.21874,                0.13257,                0.15843,                0.65145,               0.001208,               0.001208,               0.001208
                     63,                0.30798,                0.27943,                0.22372,                0.87571,                0.99942,                      1,                  0.995,                0.98684,                0.99942,                      1,                  0.995,                  0.995,                0.19817,                0.12601,                 0.2228,                0.64972,              0.0011948,              0.0011948,              0.0011948
                     64,                0.28944,                0.27103,                 0.2122,                0.86481,                0.99939,                      1,                  0.995,                0.99096,                0.99939,                      1,                  0.995,                  0.995,                0.17336,                0.13408,                0.23608,                0.64237,              0.0011816,              0.0011816,              0.0011816
                     65,                0.30667,                0.27604,                0.22041,                0.88002,                0.99919,                      1,                  0.995,                0.99022,                0.99919,                      1,                  0.995,                  0.995,                0.17811,                0.13464,                0.57915,                0.63615,              0.0011684,              0.0011684,              0.0011684
                     66,                0.30456,                0.27779,                0.21876,                0.87201,                0.99916,                      1,                  0.995,                0.99398,                0.99916,                      1,                  0.995,                  0.995,                0.21715,                0.13156,                0.25511,                   0.65,              0.0011552,              0.0011552,              0.0011552
                     67,                0.30292,                0.28639,                0.22296,                0.87696,                0.99942,                      1,                  0.995,                0.99108,                0.99942,                      1,                  0.995,                0.98902,                 0.2103,                0.13827,                0.20344,                0.65294,               0.001142,               0.001142,               0.001142
